"sample","c22","Lat","Long"
667,0.818674324798415,-3.6667,-37.7167
668,0.855177885796535,-3.6667,-37.7167
669,0.872400144869446,-3.6667,-37.7167
670,0.870967433037732,-3.6667,-37.7167
671,0.837545906393634,-4.295,-37.0917
672,0.862179101579893,-4.295,-37.0917
673,0.851834536746718,-4.295,-37.0917
674,0.844079494109932,-4.295,-37.0917
675,0.889543459172694,-4.295,-37.0917
676,0.866668729228062,-4.295,-37.0917
677,0.898119449209561,-4.295,-37.0917
678,0.953959146649747,-7.0533,-34.4633
679,0.951525916558437,-7.0533,-34.4633
680,0.954710600677062,-7.0533,-34.4633
681,0.953096346237607,-7.0533,-34.4633
682,0.9655703162803,-7.0117,-34.4417
683,0.9670155783997,-7.0117,-34.4417
684,0.953880132555695,-7.0117,-34.4417
685,0.908660261147873,-7.0117,-34.4417
686,0.682542524105039,-22.915,6.0367
687,0.674492505471607,-22.915,6.0367
688,0.766210786132904,-21.735,5.4217
689,0.374369360905755,-3.475,-7.6
690,0.29651608646328,-3.475,-7.6
691,0.530372509091999,-35.125,17.5433
692,0.565441788965824,-35.125,17.5433
693,0.934206168202414,-25.25,12.0217
694,0.950018294092827,-25.25,12.0217
695,0.913155743653223,-25.25,12.0217
696,0.920190835687732,-25.25,12.0217
697,0.667681706720312,-29.5117,-8.305
698,0.705253956647295,-30.8117,-14.7117
699,0.61397606553685,-32.2683,-21.9667
700,0.889212259151397,-23.825,-16.2583
701,0.986172095306805,-24.1433,-14.0433
702,0.979320672750434,-24.1433,-14.0433
703,0.968833621458258,-24.1433,-14.0433
704,0.980462111658294,-24.1433,-14.0433
705,0.924543215718073,-24.1833,-12.0217
706,1,-19.0867,-10.1917
707,0.779136540096898,-19.0517,-16.6133
708,0.801702575376834,-19.0517,-16.6133
709,0.867163882092644,-19.0517,-16.6133
710,0.721861163311377,-0.2,-23.15
711,0.581199610364534,-0.2,-23.15
712,0.593219602807679,-0.2,-23.15
713,0.527903947308924,-0.2,-23.15
714,0.439553423695519,-0.2,-23.15
715,0.421575137819342,-0.2,-23.15
716,0.220409453311437,-1.35,-11.9617
717,0.221200636726325,-1.35,-11.9617
718,0.766441004930554,-2.202,5.1017
719,0.599843403980823,-2.202,5.1017
720,0.23649200603913,-3.55,-35.23
721,0.968568982330257,-3.55,-35.23
722,0.2110985109137,-3.55,-35.23
723,0.20194050378925,-3.55,-35.23
724,0.691747029798104,-3.55,-35.23
725,0.213827245080762,-3.55,-35.23
726,0.192636220322072,-3.55,-35.23
